City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
173,Los Llanos De Aridane,ES,2021-05-31 01:32:30,28.6585,-17.9182,64.15,84,75,14.34
174,Riyadh,SA,2021-05-31 01:34:01,24.6877,46.7219,87.85,12,0,0.0
175,Kununurra,AU,2021-05-31 01:32:02,-15.7667,128.7333,78.78,25,47,10.36
176,Sao Joao Da Barra,BR,2021-05-31 01:34:52,-21.6403,-41.0511,72.57,96,100,7.94
177,Bilibino,RU,2021-05-31 01:34:52,68.0546,166.4372,60.28,26,22,2.35
178,Katobu,ID,2021-05-31 01:34:53,-4.9408,122.5276,85.59,63,95,1.86
179,Walvis Bay,NA,2021-05-31 01:34:53,-22.9575,14.5053,55.09,100,23,9.4
180,Seddon,AU,2021-05-31 01:34:53,-37.8068,144.8916,61.72,59,0,4.0
181,Chara,RU,2021-05-31 01:34:54,56.9064,118.2631,49.69,74,100,5.23
182,Zonguldak,TR,2021-05-31 01:34:54,41.25,31.8333,54.55,97,100,2.46
183,Tutoia,BR,2021-05-31 01:34:54,-2.7619,-42.2744,78.44,85,11,8.23
184,Rawson,AR,2021-05-31 01:33:00,-43.3002,-65.1023,53.94,63,49,27.69
185,Mersing,MY,2021-05-31 01:34:55,2.4312,103.8405,82.31,83,40,4.61
186,Selma,US,2021-05-31 01:33:53,36.5708,-119.6121,95.92,15,0,6.04
187,Quatre Cocos,MU,2021-05-31 01:31:57,-20.2078,57.7625,72.09,80,38,9.55
188,Nikolskoye,RU,2021-05-31 01:34:55,59.7035,30.7861,37.29,69,87,2.84
189,Bandarbeyla,SO,2021-05-31 01:34:56,9.4942,50.8122,77.97,83,90,22.59
190,Clyde River,CA,2021-05-31 01:34:56,70.4692,-68.5914,25.03,100,90,3.44
191,Preobrazheniye,RU,2021-05-31 01:34:56,42.9019,133.9064,53.42,75,94,7.56
192,Port Hawkesbury,CA,2021-05-31 01:34:57,45.6169,-61.3485,49.59,88,75,5.01
193,Maarianhamina,AX,2021-05-31 01:34:57,60.0973,19.9348,48.06,71,0,8.05
194,Yashkul,RU,2021-05-31 01:34:57,46.1711,45.3435,64.08,86,82,13.91
195,Ghanzi,BW,2021-05-31 01:34:58,-21.5667,21.7833,54.16,36,23,6.98
196,Tocache,PE,2021-05-31 01:34:58,-8.1842,-76.5125,71.53,95,100,0.89
197,Chuy,UY,2021-05-31 01:34:58,-33.6971,-53.4616,42.19,75,3,5.82
198,Kapaa,US,2021-05-31 01:30:17,22.0752,-159.319,84.52,63,75,3.0
199,Seguela,CI,2021-05-31 01:34:59,7.9611,-6.6731,72.91,98,100,1.54
200,Stonewall,CA,2021-05-31 01:34:59,50.1344,-97.3268,60.57,78,58,7.58
201,Jalu,LY,2021-05-31 01:34:59,29.0331,21.5482,77.09,45,0,11.23
202,Verkhnyaya Inta,RU,2021-05-31 01:35:00,65.9811,60.3094,36.75,67,97,11.36
203,Norman Wells,CA,2021-05-31 01:35:00,65.282,-126.8329,57.24,51,75,13.8
